round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p0-T-p0,p0-T-p1,p0-T-p2,p0-T-p3,p0-T-p4,p0-T-p5,p0-T-p6,p0-T-p7,p0-T-p8,p0-T-p9,p1-T-p0,p1-T-p1,p1-T-p2,p1-T-p3,p1-T-p4,p1-T-p5,p1-T-p6,p1-T-p7,p1-T-p8,p1-T-p9,p2-T-p0,p2-T-p1,p2-T-p2,p2-T-p3,p2-T-p4,p2-T-p5,p2-T-p6,p2-T-p7,p2-T-p8,p2-T-p9,p3-T-p0,p3-T-p1,p3-T-p2,p3-T-p3,p3-T-p4,p3-T-p5,p3-T-p6,p3-T-p7,p3-T-p8,p3-T-p9,p4-T-p0,p4-T-p1,p4-T-p2,p4-T-p3,p4-T-p4,p4-T-p5,p4-T-p6,p4-T-p7,p4-T-p8,p4-T-p9,p5-T-p0,p5-T-p1,p5-T-p2,p5-T-p3,p5-T-p4,p5-T-p5,p5-T-p6,p5-T-p7,p5-T-p8,p5-T-p9,p6-T-p0,p6-T-p1,p6-T-p2,p6-T-p3,p6-T-p4,p6-T-p5,p6-T-p6,p6-T-p7,p6-T-p8,p6-T-p9,p7-T-p0,p7-T-p1,p7-T-p2,p7-T-p3,p7-T-p4,p7-T-p5,p7-T-p6,p7-T-p7,p7-T-p8,p7-T-p9,p8-T-p0,p8-T-p1,p8-T-p2,p8-T-p3,p8-T-p4,p8-T-p5,p8-T-p6,p8-T-p7,p8-T-p8,p8-T-p9,p9-T-p0,p9-T-p1,p9-T-p2,p9-T-p3,p9-T-p4,p9-T-p5,p9-T-p6,p9-T-p7,p9-T-p8,p9-T-p9,p0-I-p0,p0-I-p1,p0-I-p2,p0-I-p3,p0-I-p4,p0-I-p5,p0-I-p6,p0-I-p7,p0-I-p8,p0-I-p9,p1-I-p0,p1-I-p1,p1-I-p2,p1-I-p3,p1-I-p4,p1-I-p5,p1-I-p6,p1-I-p7,p1-I-p8,p1-I-p9,p2-I-p0,p2-I-p1,p2-I-p2,p2-I-p3,p2-I-p4,p2-I-p5,p2-I-p6,p2-I-p7,p2-I-p8,p2-I-p9,p3-I-p0,p3-I-p1,p3-I-p2,p3-I-p3,p3-I-p4,p3-I-p5,p3-I-p6,p3-I-p7,p3-I-p8,p3-I-p9,p4-I-p0,p4-I-p1,p4-I-p2,p4-I-p3,p4-I-p4,p4-I-p5,p4-I-p6,p4-I-p7,p4-I-p8,p4-I-p9,p5-I-p0,p5-I-p1,p5-I-p2,p5-I-p3,p5-I-p4,p5-I-p5,p5-I-p6,p5-I-p7,p5-I-p8,p5-I-p9,p6-I-p0,p6-I-p1,p6-I-p2,p6-I-p3,p6-I-p4,p6-I-p5,p6-I-p6,p6-I-p7,p6-I-p8,p6-I-p9,p7-I-p0,p7-I-p1,p7-I-p2,p7-I-p3,p7-I-p4,p7-I-p5,p7-I-p6,p7-I-p7,p7-I-p8,p7-I-p9,p8-I-p0,p8-I-p1,p8-I-p2,p8-I-p3,p8-I-p4,p8-I-p5,p8-I-p6,p8-I-p7,p8-I-p8,p8-I-p9,p9-I-p0,p9-I-p1,p9-I-p2,p9-I-p3,p9-I-p4,p9-I-p5,p9-I-p6,p9-I-p7,p9-I-p8,p9-I-p9
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.2,0.5,1.3,0.95,1.6,100.3,99.0,99.0,102.9,102.9,105.5,100.3,105.5,99.0,81.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.15,0.15,0.25,0.05,0.25,0.0,0.1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.3,0.0,0.0,3.9000000000000004,3.9000000000000004,6.5,1.3,6.5,0.0,1.9000000000000001
2,0.2,0.5,1.3,0.95,1.6,99.25557071163306,97.96194218608855,97.96194218608855,109.2957277627221,101.8428277627221,110.81828481381112,99.25557071163306,110.81828481381112,97.96194218608855,66.16280158084916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35,0.0,0.3,0.0,0.3,0.0,0.05,34.30810910368363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96194218608853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96194218608853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.00044293887384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.00044293887384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.69277677406404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.30810910368363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.69277677406404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96194218608853,0.0,0.947461607949413,0.0,0.0,10.295284823848238,2.8423848238482385,11.125508039747066,0.947461607949413,11.125508039747066,0.0,2.162801580849142
3,0.2,0.5,1.3,0.95,1.6,98.12369355883376,96.90731279042788,96.90731279042788,108.40040861844031,100.55645509564556,118.31376957179182,98.12369355883376,117.45365315124079,101.57948158302048,40.358315655072566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,-0.45,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.45,0.0,0.05,46.23005049790294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.70731279042787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.70731279042787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.717931346600764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.27552591285307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.41449169958695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.23005049790294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.41449169958695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.379481583020464,-13.047914849503167,0.6936430609308237,0.0,0.0,7.482477271839542,2.080929182792471,16.699277872204856,0.6936430609308237,15.839161451653819,0.0,2.2062305045757236
4,0.2,0.5,1.3,0.95,1.6,97.12039973314509,96.01177768232363,96.01177768232363,106.46028302749977,99.33764383478805,116.48994931982406,97.12039973314509,115.60695511228862,101.80154471015194,39.20114774734816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.69008651421383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05177768232362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05177768232362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.50562669552032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.96670417799426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.53613457387935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.69008651421383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.21018951645684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.841544710151936,-10.895511732770926,0.47031321893126316,0.0,0.0,4.994656331979442,1.4109396567937893,10.993814745944697,0.47031321893126316,10.436765595831773,0.0,9.136659480119075
5,0.2,0.5,1.3,0.95,1.6,96.18370549469432,95.1095057827115,95.1095057827115,105.2227059913032,98.33210491866004,115.17534545761461,96.18370549469432,114.29648429519943,101.14197207974729,38.67932017919433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.04132908972588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.34150578271148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.34150578271148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4809417490348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4409757037547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.66469894069763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.04132908972588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.22857408228738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.37397207974728,-8.787405021102641,0.37437640496844604,0.0,0.0,3.9737642422683863,1.1231292149053378,8.742646516916983,0.37437640496844604,8.299910212912057,0.0,14.698725200296963
6,0.2,0.5,1.3,0.95,1.6,95.2326519745267,99.20389250939257,94.17558088609731,104.12395156967888,97.34679415138551,113.97879197295966,95.2326519745267,113.10790561577042,100.23299780481868,34.58483990313751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,68.71903337281005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.9611808860973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.9611808860973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73385066573893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.23473834623557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.77817460661305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.71903337281005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.26103967673244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.01859780481867,-7.044478987170463,0.2992186017166402,5.028311623295263,0.0,3.1757009039399464,0.8976558051499209,6.986217366346593,0.2992186017166402,6.632465939037971,0.0,15.41491889030796
7,0.2,0.5,1.3,0.95,1.6,94.23774684428093,99.43179064376577,99.04512907704594,102.94741094191973,96.3126582660114,112.59024457799767,94.23774684428093,111.73867017547852,99.23170373808122,29.366437894460518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.35,73.03361923894505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.63493848438637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.22877113341569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.51462662164602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.64331545000378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.21897629469856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.03361923894505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.63992078890429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.26018373808121,-5.647267992618503,0.23260760533586763,3.8253321593793856,5.844837943630239,2.461264320273696,0.6978228160076031,5.399748283299093,0.23260760533586763,5.127229386574212,0.0,14.042185887079013
8,0.2,0.5,1.3,0.95,1.6,94.75880259847764,98.56152300985876,102.91041004984665,101.74498858121666,95.26505859493409,111.13571793095296,93.23174782796569,110.30740564430072,98.20627894520287,24.681290772099842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.35,76.27559194612773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.93240698406186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3571336800014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.08249764525524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.95102294942023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2385243999914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.27559194612773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.61715804347797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.42906294520286,-4.52779628931078,1.7059946523498974,2.85190002579689,7.77606036984524,1.8852749359614123,0.536819645513851,4.119977530961546,0.17893988183795037,3.9130316008227286,0.0,12.431871061410611
9,0.2,0.5,1.3,0.95,1.6,98.64836899960366,97.42879441842581,102.9777908955354,100.57257897622162,94.23395502775102,109.73083688451334,92.23891301536551,108.92396352423029,97.18571398795874,20.478672750405305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,79.46784251203049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.87664458380821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7875854535441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.70332649135861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.39827751179594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.15802701384709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6791719767138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5086811011127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.76394118795874,-3.629212722664591,5.758753687573163,2.130377034617595,5.7684326419912955,1.4474796848630171,0.4139047159550723,3.151037070666246,0.13796823865169072,2.9935096231175766,0.0,10.68611267306989
10,0.2,0.5,1.3,0.95,1.6,98.91204542776073,96.26138485984305,101.95774574340834,99.43563960798168,93.22143970353325,108.39084514512747,94.98778504726685,107.60262761674765,96.17385359627002,16.969848714535456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,83.93122245237741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.92942983282904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93414001815489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5843491304305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.16419132160459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.23786088148577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.41663831938352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.569834180762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.43643535627001,-2.908339472723777,4.243404735383314,1.5945367870139875,4.286187485253441,1.1138722375511747,0.3198301419286524,2.4155660236416816,3.8337284878833158,2.2953751959856477,0.0,9.140769947259226
11,0.2,0.5,1.3,0.95,1.6,98.09041091136783,91.74950860225191,100.69214550453884,98.33795746800558,92.23118606303626,107.12074721046015,98.3655146009204,106.34828034979994,92.36090530242164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,86.35063197175215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.95787000631225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.59297459185616,0.0,0.0,88.89454158495171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88663370813033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.39299349495695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66925371075742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.64595578632864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.98901230936698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.77097071042164,-8.651715131255813,3.149844347615673,1.2017040039396576,3.207669327587126,0.8613891678752449,0.24825797607930752,1.8615589077027228,6.129624222591752,1.7693334484329388,0.0,7.6547551311119655
